pilot_id,cwe,case_id,src_file,good_func,bad_func,build_flags,run_args,oracle_type,oracle_value,notes
pilot_v1_0001,CWE-121,CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_01,data/juliet/testcases/CWE121_Stack_Based_Buffer_Overflow/s01/CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_01.c,CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_01_good,CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_01_bad,-O0 -g -fsanitize=address -fno-omit-frame-pointer,,asan_crash,address-sanitizer,
pilot_v1_0002,CWE-121,CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_02,data/juliet/testcases/CWE121_Stack_Based_Buffer_Overflow/s01/CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_02.c,CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_02_good,CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_02_bad,-O0 -g -fsanitize=address -fno-omit-frame-pointer,,asan_crash,address-sanitizer,
pilot_v1_0003,CWE-121,CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_03,data/juliet/testcases/CWE121_Stack_Based_Buffer_Overflow/s01/CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_03.c,CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_03_good,CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_03_bad,-O0 -g -fsanitize=address -fno-omit-frame-pointer,,asan_crash,address-sanitizer,
pilot_v1_0004,CWE-122,CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_01,data/juliet/testcases/CWE122_Heap_Based_Buffer_Overflow/s01/CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_01.c,CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_01_good,CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_01_bad,-O0 -g -fsanitize=address -fno-omit-frame-pointer,,asan_crash,address-sanitizer,
pilot_v1_0005,CWE-122,CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_02,data/juliet/testcases/CWE122_Heap_Based_Buffer_Overflow/s01/CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_02.c,CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_02_good,CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_02_bad,-O0 -g -fsanitize=address -fno-omit-frame-pointer,,asan_crash,address-sanitizer,
pilot_v1_0006,CWE-122,CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_03,data/juliet/testcases/CWE122_Heap_Based_Buffer_Overflow/s01/CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_03.c,CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_03_good,CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_03_bad,-O0 -g -fsanitize=address -fno-omit-frame-pointer,,asan_crash,address-sanitizer,
pilot_v1_0007,CWE-190,CWE190_Integer_Overflow__char_fscanf_add_01,data/juliet/testcases/CWE190_Integer_Overflow/s01/CWE190_Integer_Overflow__char_fscanf_add_01.c,CWE190_Integer_Overflow__char_fscanf_add_01_good,CWE190_Integer_Overflow__char_fscanf_add_01_bad,-O0 -g -fsanitize=undefined,,ubsan_overflow,signed-integer-overflow,
pilot_v1_0008,CWE-190,CWE190_Integer_Overflow__char_fscanf_add_02,data/juliet/testcases/CWE190_Integer_Overflow/s01/CWE190_Integer_Overflow__char_fscanf_add_02.c,CWE190_Integer_Overflow__char_fscanf_add_02_good,CWE190_Integer_Overflow__char_fscanf_add_02_bad,-O0 -g -fsanitize=undefined,,ubsan_overflow,signed-integer-overflow,
pilot_v1_0009,CWE-190,CWE190_Integer_Overflow__char_fscanf_add_03,data/juliet/testcases/CWE190_Integer_Overflow/s01/CWE190_Integer_Overflow__char_fscanf_add_03.c,CWE190_Integer_Overflow__char_fscanf_add_03_good,CWE190_Integer_Overflow__char_fscanf_add_03_bad,-O0 -g -fsanitize=undefined,,ubsan_overflow,signed-integer-overflow,
pilot_v1_0010,CWE-362,CWE364_Signal_Handler_Race_Condition__basic_01,data/juliet/testcases/CWE364_Signal_Handler_Race_Condition/CWE364_Signal_Handler_Race_Condition__basic_01.c,CWE364_Signal_Handler_Race_Condition__basic_01_good,CWE364_Signal_Handler_Race_Condition__basic_01_bad,,,exit_code,1,
pilot_v1_0011,CWE-362,CWE364_Signal_Handler_Race_Condition__basic_02,data/juliet/testcases/CWE364_Signal_Handler_Race_Condition/CWE364_Signal_Handler_Race_Condition__basic_02.c,CWE364_Signal_Handler_Race_Condition__basic_02_good,CWE364_Signal_Handler_Race_Condition__basic_02_bad,,,exit_code,1,
pilot_v1_0012,CWE-362,CWE364_Signal_Handler_Race_Condition__basic_03,data/juliet/testcases/CWE364_Signal_Handler_Race_Condition/CWE364_Signal_Handler_Race_Condition__basic_03.c,CWE364_Signal_Handler_Race_Condition__basic_03_good,CWE364_Signal_Handler_Race_Condition__basic_03_bad,,,exit_code,1,
pilot_v1_0013,CWE-327,CWE327_Use_Broken_Crypto__w32_3DES_01,data/juliet/testcases/CWE327_Use_Broken_Crypto/CWE327_Use_Broken_Crypto__w32_3DES_01.c,CWE327_Use_Broken_Crypto__w32_3DES_01_good,CWE327_Use_Broken_Crypto__w32_3DES_01_bad,,,static_hit,WEAK_CRYPTO,
pilot_v1_0014,CWE-327,CWE327_Use_Broken_Crypto__w32_3DES_02,data/juliet/testcases/CWE327_Use_Broken_Crypto/CWE327_Use_Broken_Crypto__w32_3DES_02.c,CWE327_Use_Broken_Crypto__w32_3DES_02_good,CWE327_Use_Broken_Crypto__w32_3DES_02_bad,,,static_hit,WEAK_CRYPTO,
pilot_v1_0015,CWE-327,CWE327_Use_Broken_Crypto__w32_3DES_03,data/juliet/testcases/CWE327_Use_Broken_Crypto/CWE327_Use_Broken_Crypto__w32_3DES_03.c,CWE327_Use_Broken_Crypto__w32_3DES_03_good,CWE327_Use_Broken_Crypto__w32_3DES_03_bad,,,static_hit,WEAK_CRYPTO,
pilot_v1_0016,CWE-256,CWE256_Plaintext_Storage_of_Password__w32_char_01,data/juliet/testcases/CWE256_Plaintext_Storage_of_Password/CWE256_Plaintext_Storage_of_Password__w32_char_01.c,CWE256_Plaintext_Storage_of_Password__w32_char_01_good,CWE256_Plaintext_Storage_of_Password__w32_char_01_bad,,,static_hit,PLAINTEXT_SECRET,
pilot_v1_0017,CWE-256,CWE256_Plaintext_Storage_of_Password__w32_char_02,data/juliet/testcases/CWE256_Plaintext_Storage_of_Password/CWE256_Plaintext_Storage_of_Password__w32_char_02.c,CWE256_Plaintext_Storage_of_Password__w32_char_02_good,CWE256_Plaintext_Storage_of_Password__w32_char_02_bad,,,static_hit,PLAINTEXT_SECRET,
pilot_v1_0018,CWE-256,CWE256_Plaintext_Storage_of_Password__w32_char_03,data/juliet/testcases/CWE256_Plaintext_Storage_of_Password/CWE256_Plaintext_Storage_of_Password__w32_char_03.c,CWE256_Plaintext_Storage_of_Password__w32_char_03_good,CWE256_Plaintext_Storage_of_Password__w32_char_03_bad,,,static_hit,PLAINTEXT_SECRET,
pilot_v1_0019,CWE-338,CWE338_Weak_PRNG__w32_01,data/juliet/testcases/CWE338_Weak_PRNG/CWE338_Weak_PRNG__w32_01.c,CWE338_Weak_PRNG__w32_01_good,CWE338_Weak_PRNG__w32_01_bad,,,static_hit,WEAK_RNG,
pilot_v1_0020,CWE-338,CWE338_Weak_PRNG__w32_02,data/juliet/testcases/CWE338_Weak_PRNG/CWE338_Weak_PRNG__w32_02.c,CWE338_Weak_PRNG__w32_02_good,CWE338_Weak_PRNG__w32_02_bad,,,static_hit,WEAK_RNG,
pilot_v1_0021,CWE-338,CWE338_Weak_PRNG__w32_03,data/juliet/testcases/CWE338_Weak_PRNG/CWE338_Weak_PRNG__w32_03.c,CWE338_Weak_PRNG__w32_03_good,CWE338_Weak_PRNG__w32_03_bad,,,static_hit,WEAK_RNG,
